GeneSymbol	NumberPerfect	NumberImperfect	RejectPerfect	RejectPerfectNotes	RejectImperfect	RejectImperfectNotes. In cases where F=/, this lists acceptable forms.
CACNG2	1	0				
CACTIN	0	3				
CACYBP	2	0				
CAD	3361	25	x	Coronary Artery Disease	x	
CADM1	16	3				
CADM2	2	0				
CALB1	10	0				
CALB2	0	1				
CALCA	26	1				
CALCB	0	1				
CALCOCO2	3	1				
CALCR	17	3				
CALCRL	3	7				
CALD1	4	1				
CALM1	19	0				
CALM2	4	1				
CALML4	3	0				
CALML5	2	6				
CALR	80	16				
CALU	4	11			x	
CALY	0	70			x	
CAMK1D	2	0				
CAMK2A	5	0				
CAMK2B	14	0				
CAMK2D	11	1				
CAMK2G	9	0				
CAMK4	1	1				
CAMKK2	1	9				
CAMLG	3	0				
CAMP	244	3825		Messy		
CAMSAP2	5	0				
CAMTA1	2	0				
CAMTA2	6	0				
CAND1	31	6				
CANT1	1	0				
CANX	62	0				
CAP1	22	123				
CAP2	5	18				
CAPG	2	3				
CAPN1	27	0				
CAPN10	4	0				
CAPN2	4	1				
CAPN3	8	0				
CAPN5	116	0				
CAPN7	16	0				
CAPN8	2	0				
CAPN9	2	0				
CAPNS1	5	0				
CAPNS2	0	2				
CAPRIN1	17	40				
CAPS	485	1157	x	acronyms	x	
CAPS2	0	2				
CAPZA1	9	1				
CAPZA2	2	0				
CAPZB	3	1				
CARD10	1	1				
CARD11	104	1				
CARD14	22	0				
CARD16	2	0				
CARD17	1	0				
CARD18	0	2				
CARD6	2	1				
CARD8	9	0				
CARD9	125	17				
CARF	20	0				
CARM1	7	0				
CARMIL2	3	0				
CARNS1	3	0				
CARS2	2	0				
CARTPT	19	0				
CASC1	3	0				
CASC3	4	1				
CASD1	122	150				
CASK	27	13			x	
CASKIN1	0	74				
CASKIN2	0	1				
CASP1	105	5				
CASP10	73	0				
CASP12	7	2				
CASP14	2	0				
CASP2	18	1				
CASP3	189	34				
CASP4	12	3				
CASP5	10	0				
CASP6	5	1				
CASP7	28	2				
CASP8	57	9				
CASP9	23	9				
CASQ2	2	1				
CASR	18	53				
CAST	141	1133	x	Council for Agricultural Science and Technolog	x	
CASTOR1	3	0				
CAT	2879	20357	x	Codon, acronyms. Some gene too, but not enough	x	
CATSPER3	1	0				
CATSPERD	1	0				
CAV1	172	334				
CAV2	57	15				
CAV3	5	8				
CAVIN1	1	7				
CAVIN2	0	3				
CAVIN3	0	79				
CAVIN4	1	0				
CBARP	1	0				
CBFA2T3	4	0				
CBFB	1	1				
CBL	133	130			x	
CBLB	105	27			x	
CBLC	2	32			x	
CBLL1	4	0				
CBLN1	0	11				
CBLN2	0	1				
CBLN3	0	1				
CBLN4	1	1				
CBR1	21	0				
CBR3	14	1				
CBR4	1	5				
CBS	1076	168	x	Center for Biological Sequence Analysis, other things	x	
CBSL	6	0	x	Clinical Blood Sciences Laboratory		
CBX2	5	1				
CBX3	4	0				
CBX4	5	0				
CBX5	1	1				
CBX6	4	0				
CBX7	4	0				
CBX8	22	0				
CC2D1A	2	3				
CC2D2A	1	0				
CCAR1	3	0				
CCAR2	1	0				
CCAT2	2	0				
CCBE1	6	2				
CCDC103	3	0				
CCDC113	1	0				
CCDC114	1	0				
CCDC115	1	0				
CCDC124	5	0				
CCDC126	1	0				
CCDC137	0	7				
CCDC141	0	1				
CCDC153	1	0				
CCDC177	1	0				
CCDC18-AS1	2	0				
CCDC25	1	0				
CCDC33	1	0				
CCDC39	5	0				
CCDC40	3	0				
CCDC47	1	0				
CCDC54	1	0				
CCDC59	2	0				
CCDC66	12	18				
CCDC68	1	0				
CCDC70	1	0				
CCDC71	1	0				
CCDC71L	1	0				
CCDC74A	1	0				
CCDC8	3	0				
CCDC80	1	0				
CCDC85C	1	0				
CCDC88A	3	0				
CCDC88B	2	0				
CCDC92	105	0				
CCDC93	1	0				
CCHCR1	1	0				
CCIN	0	1			x	
CCK	385	2				
CCKAR	3	0				
CCKBR	9	0				
CCL1	103	10				
CCL11	161	8				
CCL13	42	1				
CCL14	19	0				
CCL15	15	0				
CCL16	16	0				
CCL17	244	14				
CCL18	97	0				
CCL19	359	50				
CCL2	3123	139				
CCL20	359	8				
CCL21	294	14				
CCL22	192	8				
CCL23	21	0				
CCL24	72	8				
CCL25	96	7				
CCL26	46	0				
CCL27	56	0				
CCL28	203	3				
CCL3	1070	25				
CCL3L1	71	0				
CCL3L3	6	0				
CCL4	563	256				
CCL4L1	4	0				
CCL4L2	7	0				
CCL5	2097	72				
CCL7	224	22				
CCL8	184	7				
CCM2	28	1				
CCN1	8	0				
CCN2	41	0				
CCN3	11	0				
CCNA1	3	0				
CCNA2	15	1				
CCNB1	15	2				
CCNB2	8	0				
CCNB3	4	0				
CCND1	102	11				
CCND2	16	1				
CCND3	12	11				
CCNE1	14	3				
CCNE2	5	0				
CCNG1	3	5				
CCNG2	2	0				
CCNH	3	0				
CCNI	0	2				
CCNK	2	0				
CCNL1	4	0				
CCNL2	0	1				
CCNO	2	0				
CCNT1	8	0				
CCNT2	6	0				
CCNY	18	0				
CCNYL1	0	2				
CCPG1	3	0				
CCR1	504	9				
CCR10	103	0				
CCR2	1213	107				
CCR3	248	5				
CCR4	385	15				
CCR5	4116	29				
CCR6	282	14				
CCR7	852	39				
CCR8	96	0				
CCR9	127	3				
CCRL2	10	1				
CCS	682	378	x	acronyms	x	
CCT2	7	0				
CCT3	6	0				
CCT4	4	0				
CCT5	8	0				
CCT6A	3	0				
CCT6B	1	0				
CCT7	11	0				
CCT8	4	0				
CCT8P1	1	0				
CD101	6	0				
CD109	14	0				
CD14	2742	16				
CD151	474	0				
CD160	32	0				
CD163	845	5				
CD163L1	2	0				
CD164	3	0				
CD177	105	0				
CD177P1	2	0				
CD180	12	0				
CD19	1357	4				
CD1A	13	414				
CD1B	3	84				
CD1C	14	297				
CD1D	21	537				
CD1E	12	24				
CD2	494	16				
CD200	500	5				
CD200R1	146	0				
CD207	42	0				
CD209	469	1				
CD22	337	1				
CD226	46	1				
CD24	176	0				
CD244	25	0				
CD247	23	0				
CD248	1	0				
CD27	558	6				
CD274	56	5				
CD276	7	0				
CD28	1274	5				
CD2AP	67	0				
CD2BP2	3	1				
CD300A	0	48				
CD300C	1	7				
CD300LD	0	6				
CD300LF	2	27				
CD302	1	0				
CD320	7	0				
CD33	272	3				
CD34	3372	7				
CD36	567	10				
CD37	16	0				
CD38	677	3				
CD3D	31	7				
CD3E	47	48				
CD3G	35	4				
CD4	23853	28				
CD40	1862	6				
CD40LG	37	0				
CD44	1454	23				
CD46	861	0				
CD47	231	0				
CD48	22	0				
CD5	497	2				
CD52	262	1				
CD53	15	0				
CD55	398	0				
CD58	69	0				
CD59	335	0				
CD5L	2	0				
CD6	55	0				
CD63	628	4				
CD68	949	11				
CD69	1281	6				
CD7	138	0				
CD70	56	0				
CD72	11	0				
CD74	130	8				
CD79A	27	163				
CD79B	16	17				
CD80	1328	10				
CD81	1610	4				
CD82	51	0				
CD83	524	7				
CD84	9	4				
CD86	1942	19				
CD8A	37	147				
CD8B	19	26				
CD9	912	5				
CD93	28	4				
CD96	38	0				
CD99	166	0				
CD99L2	9	0				
CDA	314	61	x		x	
CDAN1	2	0				
CDC123	1	0				
CDC14B	2	2				
CDC16	6	8				
CDC20	29	22				
CDC20B	1	0				
CDC23	0	1				
CDC25A	18	39				
CDC25B	17	9				
CDC25C	9	77				
CDC26	2	0				
CDC27	5	0				
CDC34	7	21				
CDC37	5	23				
CDC42	181	429				
CDC42BPB	1	0				
CDC42EP3	1	1				
CDC42EP5	1	0				
CDC45	46	11				
CDC5L	10	0				
CDC6	5	22				
CDC7	4	7				
CDCA2	2	0				
CDCA3	2	0				
CDCA5	1	0				
CDCA7	59	0				
CDCP1	7	0				
CDH1	158	51				
CDH11	10	0				
CDH13	11	2				
CDH15	0	1				
CDH16	2	0				
CDH17	4	0				
CDH2	12	1				
CDH22	1	0				
CDH23	10	0				
CDH3	5	0				
CDH4	0	1				
CDH5	8	3				
CDH6	5	0				
CDH7	1	1				
CDHR1	1	0				
CDHR2	0	5				
CDHR3	196	1				
CDK1	184	85				
CDK10	5	0				
CDK12	3	0				
CDK13	2	0				
CDK14	13	0				
CDK16	1	0				
CDK17	1	0				
CDK19	1	0				
CDK2	356	166				
CDK3	2	0				
CDK4	287	88				
CDK5	40	67				
CDK5R1	0	1				
CDK5R2	3	0				
CDK5RAP2	4	1				
CDK6	184	34				
CDK7	24	6				
CDK8	17	1				
CDK9	137	16				
CDKAL1	9	1				
CDKL1	1	0				
CDKL2	3	0				
CDKL5	12	5				
CDKN1A	73	28				
CDKN1B	42	4				
CDKN1C	13	1				
CDKN2A	96	32				
CDKN2B	23	4				
CDKN2B-AS1	22	0				
CDKN2C	6	1				
CDKN2D	6	1				
CDKN3	4	0				
CDO1	1	2				
CDON	0	1			x	
CDR1	172	4				
CDR2	181	4				
CDS1	7	0				
CDS2	4	0				
CDSN	7	0				
CDT1	35	41				
CDV3	26	0				
CDX1	26	1				
CDX2	142	58				
CDX4	1	1				
CEACAM1	2210	153				
CEACAM16	64	1				
CEACAM18	42	0				
CEACAM19	45	0				
CEACAM20	36	0				
CEACAM21	15	0				
CEACAM3	85	0				
CEACAM4	20	0				
CEACAM5	199	0				
CEACAM6	153	0				
CEACAM7	65	0				
CEACAM8	46	0				
CEACAMP8	1	0				
CEBPA	67	22				
CEBPB	37	19				
CEBPD	24	12				
CEBPE	2	0				
CEBPG	2	0				
CEL	143	145	x	CEL files, Chicken Embryo Liver cells	x	
CELA1	11	0				
CELA2A	4	0				
CELF1	3	0				
CELF2	2	0				
CELP	2	0				
CELSR1	3	0				
CELSR2	13	5				
CELSR3	0	3				
CEND1	1	16				
CENPA	1	1				
CENPB	12	2				
CENPE	1	0				
CENPF	9	1				
CENPO	3	0				
CENPP	0	1				
CENPS	0	1			x	
CENPU	1	0				
CEP128	1	0				
CEP135	5	0				
CEP152	1	0				
CEP164	1	0				
CEP250	12	0				
CEP290	18	1				
CEP350	2	0				
CEP43	5	0				
CEP55	16	1				
CEP63	1	0				
CEP68	2	0				
CEP72	3	0				
CEP76	1	0				
CEP85L	2	0				
CER1	0	2				
CERS1	0	4				
CERS2	1	16				
CERS3	1	0				
CERS5	0	1				
CERS6	1	10				
CES1	96	2				
CES1P1	1	0				
CES2	4	0				
CES3	10	0				
CES5A	1	0				
CETN3	1	0				
CETP	69	1				
CFAP157	1	0				
CFAP44	1	0				
CFB	104	39			x	
CFC1	4	0				
CFD	1734	3	x	Computational Fluid Dynamics	x	
CFH	213	3				
CFHR1	34	0				
CFHR2	5	0				
CFHR3	9	0				
CFHR4	6	0				
CFHR5	12	0				
CFI	447	10	x	comparative fit analysis, ...	x	
CFL1	19	0				
CFL2	6	0				
CFLAR	19	0				
CFLAR-AS1	1	0				
CFP	452	24	x	cyan fluorescent protein	x	
CFTR	10730	386				
CGA	902	161	x	codon	x	
CGAS	19	1528				Usually written cGAS
CGB1	1	0				
CGB2	1	0				
CGB5	1	0				
CGN	123	0	x	cis golgi network, others...		
CGNL1	0	1				
CH25H	213	27				
CHAC1	122	2				
CHAC2	1	0				
CHAD	7	329	x		x	
CHAF1A	1	0				
CHAT	48	1048	x	Collaborative H1N1 Adjuvant Treatment	x	
CHCHD10	0	2				
CHCHD2	17	0				
CHCHD3	2	0				
CHCHD4	4	0				
CHD1	19	14				
CHD1L	18	0				
CHD2	8	0				
CHD3	17	0				
CHD4	16	0				
CHD5	3	0				
CHD6	13	0				
CHD7	20	1				
CHD8	2	1				
CHDH	1	0				
CHEK1	22	2				
CHEK2	22	1				
CHFR	36	0				
CHGA	24	9			x	
CHGB	5	0	x			
CHI3L1	85	9				
CHI3L2	4	0				
CHIA	3	154			x	
CHIC1	1	0				
CHIC2	5	0				
CHIT1	15	2				
CHKA	0	2				
CHL1	12	2				
CHM	258	20	x	Chinese Herbal Medicine	x	
CHML	8	0				
CHMP1A	4	0				
CHMP1B	7	0				
CHMP2A	26	0				
CHMP2B	17	0				
CHMP3	25	0				
CHMP4A	5	0				
CHMP4B	18	0				
CHMP4C	2	0				
CHMP5	20	0				
CHMP6	7	0				
CHMP7	2	0				
CHN1	4	0				
CHN2	8	0				
CHODL	1	0				
CHP1	1	3				
CHP2	7	1				
CHPF	0	1				
CHRD	6	0				
CHRDL1	1	1				
CHRDL2	0	1				
CHRFAM7A	2	0				
CHRM1	2	1				
CHRM2	9	1				
CHRM3	11	0				
CHRNA1	14	0				
CHRNA10	5	0				
CHRNA2	0	1				
CHRNA3	1	0				
CHRNA4	12	0				
CHRNA5	1	0				
CHRNA6	0	1				
CHRNA7	22	5				
CHRNA9	3	0				
CHRNB1	2	0				
CHRNB2	8	0				
CHRND	2	0				
CHRNE	9	0				
CHRNG	1	0				
CHST1	1	0				
CHST10	1	0				
CHST11	1	0				
CHST12	1	0				
CHST13	1	0				
CHST14	3	0				
CHST2	1	0				
CHST3	9	1				
CHST4	1	0				
CHST5	1	0				
CHST6	1	0				
CHST7	1	0				
CHST8	1	1				
CHST9	1	0				
CHSY3	2	0				
CHTF18	12	2				
CHTOP	1	0				
CHUK	19	3		messy	x	
CIAO1	0	3				
CIAPIN1	3	0				
CIART	0	4			x	
CIB1	16	0				
CIB2	2	0				
CIC	340	45	x	Clean intermittent cathatetization	x	
CIDEA	4	18				
CIDEB	3	1				
CIDEC	1	0				
CIITA	235	18				
CILP	40	18				
CINP	13	0				
CIP2A	7	0				
CIPC	4	46			x	
CIR1	1	3				
CIRBP	1	0				
CISD1	6	0				
CISD2	19	0				
CISD3	1	0				
CISH	108	13	x	Mostly chromogenic in situ hybridization	/	Cish
CIT	524	191	x	cold ischemia time, others	x	
CITED1	2	1				
CITED2	2	0				
CITED4	0	2				
CKAP4	4	0				
CKB	18	0				
CKLF	4	0				
CKM	16	9			x	
CKMT1B	1	0				
CKMT2	1	0				
CKS1B	4	0				
CKS2	6	0				
CLASP1	3	0				
CLASP2	4	0				
CLC	773	32	x	CLC genomics workbench	x	
CLCA1	23	2				
CLCA4	2	0				
CLCC1	1	0				
CLCF1	5	1				
CLCN1	10	1				
CLCN5	37	0				
CLCN6	2	0				
CLCN7	15	0				
CLCNKA	7	0				
CLCNKB	19	0				
CLDN1	253	15				
CLDN10	18	0				
CLDN11	0	4				
CLDN12	2	0				
CLDN14	2	3				
CLDN15	2	0				
CLDN16	10	0				
CLDN18	2	8				
CLDN19	5	0				
CLDN2	7	8				
CLDN24	0	1				
CLDN3	16	13				
CLDN4	13	34				
CLDN5	41	28				
CLDN6	55	2				
CLDN7	10	24				
CLDN8	1	12				
CLDN9	10	0				
CLDND1	1	0				
CLEC10A	4	3				
CLEC12A	13	3				
CLEC12B	6	0				
CLEC14A	1	5				
CLEC16A	9	2				
CLEC17A	2	0				
CLEC1A	1	3				
CLEC1B	2	1				
CLEC2A	1	0				
CLEC2B	1	0				
CLEC2D	3	1				
CLEC3A	11	0				
CLEC3B	1	0				
CLEC4A	7	4				
CLEC4C	13	2				
CLEC4D	3	4				
CLEC4E	12	9				
CLEC4F	1	6				
CLEC4G	114	2				
CLEC4M	318	1				
CLEC5A	207	5				
CLEC6A	13	2				
CLEC7A	33	28				
CLEC9A	36	28				
CLGN	2	0	x			
CLIC1	8	0				
CLIC4	5	3				
CLIC5	1	0				
CLIC6	2	0				
CLINT1	0	2				
CLIP1	1	0				
CLIP4	2	0				
CLK1	15	2				
CLN3	21	8				
CLN5	6	0				
CLN6	1	0				
CLN8	8	1				
CLNS1A	1	0				
CLOCK	86	2482			x	
CLP1	7	6				
CLPB	7	35				
CLPP	66	64				
CLPS	2	215				
CLPTM1L	29	0				
CLPX	31	42				
CLRN3	1	0				
CLSPN	1	0				
CLTA	2	0				
CLTB	4	0				
CLTC	41	0				
CLTCL1	3	0				
CLTRN	2	0				
CLU	107	23			x	
CLYBL	2	0				
CMA1	13	0				
CMAS	30	12			x	
CMBL	0	38			x	chicken MBL
CMC4	2	0				
CMIP	1	0	x			
CMKLR1	19	2				
CMPK1	24	0				
CMPK2	22	2				
CMTM1	2	0				
CMTM2	2	0				
CMTM3	10	0				
CMTM6	1	0				
CMTR1	50	11				
CMTR2	8	1				
CNBP	18	0		messy		
CNDP2	3	0				
CNFN	9	1				
CNGA1	86	1				
CNGA2	7	0				
CNGA3	27	0				
CNGA4	3	0				
CNGB1	99	20				
CNGB3	3	0				
CNIH4	2	0				
CNKSR3	1	0				
CNN1	40	7				
CNN2	17	0				
CNN3	19	0				
CNNM3	3	0				
CNOT1	3	0				
CNOT10	4	0				
CNOT3	1	0				
CNOT4	2	0				
CNOT6	11	0				
CNOT6L	6	0				
CNOT7	2	0				
CNOT8	3	0				
CNP	371	18		messy	x	
CNPY3	0	1				
CNR1	5	21				
CNR2	6	3				
CNST	8	0	x	acronyms		
CNTF	118	4			x	
CNTFR	1	0				
CNTN1	19	0				
CNTN2	3	0				
CNTN3	1	0				
CNTN4	3	0				
CNTN6	4	0				
CNTNAP1	1	0				
CNTNAP2	11	0				
CNTRL	1	6			x	
COA3	1	0				
COASY	6	12				
COCH	60	15	x	chemical 	x	
COG1	5	0				
COG2	1	0				
COG3	1	1				
COG4	8	0				
COG5	0	1				
COG6	1	1				
COG7	2	1				
COG8	2	1				
COIL	9	2982	x	computer program	x	
COL10A1	0	1				
COL11A1	5	1				
COL11A2	1	0				
COL12A1	6	0				
COL13A1	1	1				
COL14A1	2	0				
COL15A1	0	3				
COL16A1	2	0				
COL17A1	10	0				
COL18A1	1	0				
COL1A1	135	42				
COL1A2	49	8				
COL22A1	4	0				
COL23A1	12	0				
COL27A1	2	0				
COL28A1	1	0				
COL2A1	30	6				
COL3A1	37	26				
COL4A1	16	7				
COL4A2	9	2				
COL4A3	29	4				
COL4A4	22	1				
COL4A5	52	5				
COL4A6	7	0				
COL5A1	17	4				
COL5A2	9	1				
COL5A3	1	2				
COL6A1	8	2				
COL6A2	12	4				
COL6A3	15	1				
COL6A6	1	0				
COL7A1	6	0				
COL8A1	0	6				
COL9A1	2	0				
COL9A2	3	0				
COLEC10	1	0				
COLEC11	4	0				
COLEC12	1	3				
COLGALT1	1	3				
COLGALT2	0	3				
COLQ	4	2				
COMMD1	50	0				
COMMD2	1	0				
COMMD6	1	0				
COMMD8	3	0				
COMP	385	337			x	
COMT	176	1			x	
COP1	34	1				
COPA	31	55			x	
COPB1	6	0				
COPB2	6	0				
COPE	84	3607	x	acronyms	x	
COPG1	2	0				
COPG2	2	0				
COPS5	4	0				
COPS7A	5	0				
COPS8	1	0				
COPZ1	3	0				
COPZ2	3	0				
COQ2	19	1				
COQ4	5	0				
COQ6	4	0				
COQ7	1	0				
COQ9	1	0				
CORIN	13	173				
CORO1A	5	16				
CORO1B	2	2				
CORT	119	43	x	Cortisol	x	
COTL1	1	1				
COX10	4	1				
COX11	6	0				
COX15	1	0				
COX16	2	0				
COX17	3	1				
COX18	2	0				
COX4I1	4	2				
COX4I2	15	2				
COX5A	7	2				
COX5B	8	2				
COX6A1	2	1				
COX6A2	0	1				
COX6C	1	0				
COX7A1	5	0				
COX7A2L	0	4				
COX7C	0	4				
CP	1396	232	x	so many acroynms	x	
CPA1	4	2				
CPA2	2	1				
CPA3	10	0				
CPA4	0	1				
CPB1	0	64				
CPB2	18	36				
CPD	694	67	x		x	
CPE	9393	289	x	cytopathic effect	x	
CPEB1	3	1				
CPEB2	1	0				
CPEB3	7	1				
CPEB4	1	2				
CPED1	7	0				
CPLX1	5	1				
CPM	544	750	x	acronym city	x	
CPN1	3	0				
CPNE1	1	0				
CPNE5	0	1				
CPNE6	1	0				
CPNE7	4	5				
CPO	74	13	x	cardiogenic pulmonary oedema		
CPOX	5	0				
CPP	1495	11	x	cerebral perfusion pressure	x	
CPPED1	7	0				
CPQ	2	0	x			
CPS1	18	9				
CPSF2	5	4				
CPSF3	4	0				
CPSF4	2	0				
CPSF6	38	0				
CPT1A	29	2				
CPT1B	8	3				
CPT1C	6	0				
CPT2	49	4				
CPTP	2	0	x			
CPVL	1	1				
CPZ	806	7	x	Chlorpromazine	x	
CR1	1769	3				
CR2	628	10				
CRABP1	12	0				
CRABP2	9	1				
CRAT	13	0		messy		
CRB1	2	0				
CRB2	1	1				
CRB3	33	2				
CRBN	21	0				
CRCP	1	32			x	
CREB1	40	2				
CREB3	15	46				
CREB3L1	11	34				
CREB3L2	0	14				
CREB3L3	3	22				
CREB3L4	0	13				
CREB5	23	0				
CREBBP	21	1				
CREBZF	1	0				
CREG1	1	0				
CRELD1	1	0				
CRELD2	1	0				
CREM	45	2				
CRH	347	4				
CRHR1	40	5				
CRHR2	16	0				
CRIM1	2	4				
CRIP1	6	1				
CRIP2	3	0				
CRIPT	11	1			x	
CRISP1	3	0				
CRISP2	1	0				
CRISP3	5	1				
CRISPLD2	1	0				
CRK	13	14				
CRKL	13	30				
CRLF1	5	7				
CRLF2	37	0				
CRMP1	3	0				
CRNDE	7	0				
CRNN	2	0				
CROCC	1	0				
CRP	16606	127				
CRTAM	11	0				
CRTC1	127	0				
CRTC2	40	0				
CRTC3	20	0				
CRX	49	9	x	chest x-rays		
CRY1	37	22				
CRY2	4	16				
CRYAA	0	1				
CRYAB	43	19				
CRYBA1	0	20				
CRYBB2P1	1	0				
CRYGC	0	1				
CRYM	2	0				
CRYZ	0	1			x	
CS	1111	70	x	all kinds of acronyms	x	
CSAD	47	0				
CSDC2	2	0				
CSDE1	2	1				
CSE1L	10	3				
CSF1	111	23				
CSF1R	155	7				
CSF2	61	27				
CSF2RA	29	0				
CSF2RB	16	3				
CSF3	41	2				
CSF3R	28	0				
CSGALNACT1	1	0				
CSGALNACT2	1	1				
CSH1	2	1				
CSH2	12	10				
CSHL1	5	0				
CSK	54	154		messy		
CSMD1	6	0				
CSMD2	2	0				
CSMD3	1	0				
CSN1S1	3	0				
CSN2	10	0				
CSN3	4	0				
CSNK1A1	3	2				
CSNK1A1L	1	0				
CSNK1D	3	0				
CSNK1E	39	0				
CSNK1G2	6	0				
CSNK2A1	2	0				
CSNK2A2	3	0				
CSNK2B	6	2				
CSP1	7	0				
CSP2	1	1				
CSP3	3	3				
CSPG4	10	5				
CSRNP1	2	0				
CSRP1	1	0				
CSRP3	2	2				
CST1	7	0				
CST11	1	0				
CST2	3	0				
CST3	11	9				
CST4	2	0				
CST5	18	0				
CST6	3	0				
CST7	2	8				
CST8	1	0				
CST9	1	0				
CSTA	9	1			x	
CSTB	15	3				
CSTF1	1	0				
CSTF3	1	0				
CSTL1	1	0				
CT62	3	0				
CT75	5	0				
CTAG1A	1	0				
CTAG1B	3	0				
CTAG2	2	0				
CTBP1	6	8				
CTBP2	10	4				
CTBS	0	71			x	
CTC1	1	0				
CTCF	263	18			x	
CTCFL	1	0				
CTDNEP1	3	0				
CTDP1	2	0				
CTDSP1	129	0				
CTDSP2	17	0				
CTDSPL	21	0				
CTDSPL2	2	0				
CTF1	1	0				
CTH	54	44	x	acronyms	x	
CTHRC1	75	0				
CTIF	1	0				
CTLA4	400	14				
CTNNA1	3	0				
CTNNA2	9	0				
CTNNA3	3	0				
CTNNAL1	1	1				
CTNNB1	108	30				
CTNND1	3	1				
CTNND2	0	2				
CTNS	27	7			x	
CTPS1	4	0				
CTPS2	3	2				
CTR9	3	0				
CTRC	22	0				
CTRL	229	448	x	control	x	
CTSA	49	4	x	Clinical and Translational Science Award	x	
CTSB	140	18				
CTSC	17	2			x	
CTSD	24	2				
CTSE	5	11			x	
CTSF	2	0				
CTSG	55	2			x	
CTSH	36	22			x	canine Thiotrypsin
CTSK	10	1				
CTSL	588	29				
CTSO	1	0				
CTSS	59	16			x	
CTSV	5	0				
CTSW	3	137				
CTSZ	6	0				
CTTN	3	6				
CTTNBP2	3	0				
CTTNBP2NL	1	0				
CUBN	9	0				
CUEDC2	1	0				
CUL1	24	24				
CUL2	17	14				
CUL3	8	13				
CUL4A	9	22				
CUL4B	1	4				
CUL5	11	24				
CUL7	12	4				
CUTA	4	2	x	coexisting urinary tract anomalie	x	
CUX1	16	4				
CUX2	1	1				
CWC22	4	0				
CWH43	1	0				
CX3CL1	215	2				
CX3CR1	427	36				
CXADR	23	0				
CXCL1	940	67				
CXCL10	4061	111				
CXCL11	417	18				
CXCL12	777	32				
CXCL13	515	41				
CXCL14	165	10				
CXCL16	216	14				
CXCL17	171	0				
CXCL2	487	51				
CXCL3	75	7				
CXCL5	260	90				
CXCL6	108	1				
CXCL8	1031	3				
CXCL9	1266	50				
CXCR1	407	6				
CXCR2	966	58				
CXCR3	1356	61				
CXCR4	2366	21				
CXCR5	321	8				
CXCR6	197	18				
CXXC5	2	0				
CXorf38	3	0				
CXorf56	0	1				
CYB561	1	0				
CYB561D2	1	0				
CYB5A	0	3				
CYB5B	4	0				
CYB5R1	1	0				
CYB5R3	17	0				
CYBA	46	2			x	
CYBB	102	8				
CYBC1	3	0				
CYC1	18	1				
CYCS	17	0				
CYFIP1	3	0				
CYFIP2	7	3				
CYGB	0	1				
CYLC2	1	0				
CYLD	250	11				
CYP11A1	25	4				
CYP11B1	11	0				
CYP11B2	22	2				
CYP17A1	10	7				
CYP19A1	24	18				
CYP1A1	223	30				
CYP1A2	228	7				
CYP1B1	241	5				
CYP20A1	1	0				
CYP21A1P	1	0				
CYP21A2	14	0				
CYP24A1	37	8				
CYP26A1	8	1				
CYP26B1	8	2				
CYP26C1	6	0				
CYP27A1	31	1				
CYP27B1	70	11				
CYP2A13	5	1				
CYP2A6	77	1				
CYP2A7	20	0				
CYP2B6	66	0				
CYP2C18	1	0				
CYP2C19	235	0				
CYP2C8	134	0				
CYP2C9	201	1				
CYP2D6	425	0				
CYP2D7	1	0				
CYP2E1	216	3				
CYP2F1	2	0				
CYP2J2	16	0				
CYP2R1	38	2				
CYP2S1	4	0				
CYP2W1	3	0				
CYP39A1	2	0				
CYP3A4	816	10				
CYP3A43	3	0				
CYP3A5	111	3				
CYP3A7	3	0				
CYP46A1	3	0				
CYP4A11	3	2				
CYP4A22	1	1				
CYP4B1	5	0				
CYP4F11	1	0				
CYP4F12	3	0				
CYP4F2	9	0				
CYP4F22	2	0				
CYP4F3	14	0				
CYP4F8	1	0				
CYP4V2	1	0				
CYP4Z1	2	0				
CYP51A1	10	0				
CYP7A1	50	26				
CYP7B1	5	2				
CYP8B1	6	4				
CYS1	0	5				
CYSLTR1	12	16				
CYSLTR2	6	4				
CYTH2	1	0				
CYTH3	1	0				
CYTIP	0	1				
Central	0	1				
Confusion	0	1				
D2HGDH	2	0				
DAAM1	25	1				
DAAM2	1	0				
DAB1	7	12				
DAB2	22	32				
DAB2IP	5	0				
DACH2	2	0				
DACT1	2	1				
DACT2	1	0				
DAD1	8	7				
DAG1	13	0				
DAGLA	0	4				
DAGLB	0	2				
DALIR	0	2			x	
DALRD3	1	0				
DANCR	4	0				
DAO	148	103		mess	x	
DAP	835	32	x	Daptomycin	x	
DAP3	16	0				
DAPK1	19	0				
DAPK1-IT1	1	0				
DAPK2	1	0				
DAPK3	4	0				
DAPL1	3	0				
DAPP1	3	0				
DARS2	1	0				
DAXX	18	100				
DAZAP1	1	0				
DAZAP2	1	1				
DAZL	1	2				
DBF4	1	0				
DBH	57	12	x	diameter at breast height	x	
DBI	64	0	x			
DBN1	2	0				
DBP	649	33	x	diastolic blood pressure	/	Dbp
DBR1	7	0				
DBT	1827	1	x	cell type	x	
DBX2	0	1				
DCAF1	15	0				
DCAF17	2	0				
DCAF7	0	1				
DCC	502	13	x	acronyms	/	Dcc
DCD	589	1	x		x	
DCDC1	1	0				
DCDC2	5	0				
DCK	31	67				
DCLK1	1	0				
DCLRE1A	3	0				
DCLRE1C	30	0				
DCN	61	4		messy		
DCP1A	17	58				
DCP1B	2	1				
DCP2	18	53				
DCPS	6	82			x	
